3x3,     1.txt, astar, NMaxSwap,     1, 3.00,     1,    42
3x3,     2.txt, astar, NMaxSwap,     1, 3.00,     1,    19
3x3,     3.txt, astar, NMaxSwap,     2, 2.19,     2,    20
3x3,     4.txt, astar, NMaxSwap,     2, 1.79,     2,    20
3x3,     5.txt, astar, NMaxSwap,     0, 1.00,     0,     4
3x3,     6.txt, astar, NMaxSwap,     2, 2.19,     2,    20
3x3,     7.txt, astar, NMaxSwap,     2, 1.79,     2,    20
3x3,    10.txt, astar, NMaxSwap,     3, 1.58,     3,    20
3x3,    11.txt, astar, NMaxSwap,     3, 1.74,     3,    20
3x3,    12.txt, astar, NMaxSwap,     3, 1.74,     3,    20
3x3,    13.txt, astar, NMaxSwap,     3, 1.74,     3,    26
3x3,    14.txt, astar, NMaxSwap,     3, 1.74,     3,    21
3x3,    15.txt, astar, NMaxSwap,     3, 1.74,     3,    20
3x3,     8.txt, astar, NMaxSwap,     3, 1.74,     3,    20
3x3,     9.txt, astar, NMaxSwap,     3, 1.58,     3,    21
3x3,    16.txt, astar, NMaxSwap,     4, 1.49,     4,    20
3x3,    17.txt, astar, NMaxSwap,     4, 1.49,     4,    21
3x3,    18.txt, astar, NMaxSwap,     4, 1.49,     4,    21
3x3,    19.txt, astar, NMaxSwap,     4, 1.49,     4,    22
3x3,    20.txt, astar, NMaxSwap,     4, 1.49,     4,    21
3x3,    21.txt, astar, NMaxSwap,     4, 1.49,     4,    21
3x3,    22.txt, astar, NMaxSwap,     4, 1.40,     4,    20
3x3,    23.txt, astar, NMaxSwap,     4, 1.40,     4,    20
3x3,    24.txt, astar, NMaxSwap,     4, 1.49,     4,    21
3x3,    25.txt, astar, NMaxSwap,     4, 1.49,     4,    21
3x3,    26.txt, astar, NMaxSwap,     4, 1.49,     4,    21
3x3,    27.txt, astar, NMaxSwap,     5, 1.61,     4,    21
3x3,    28.txt, astar, NMaxSwap,     4, 1.49,     4,    21
3x3,    29.txt, astar, NMaxSwap,     4, 1.49,     4,    21
3x3,    30.txt, astar, NMaxSwap,     4, 1.49,     4,    22
3x3,    31.txt, astar, NMaxSwap,     5, 1.61,     4,    23
3x3,    32.txt, astar, NMaxSwap,     5, 1.39,     5,    23
3x3,    33.txt, astar, NMaxSwap,    11, 1.71,     5,    24
3x3,    34.txt, astar, NMaxSwap,     5, 1.34,     5,    22
3x3,    35.txt, astar, NMaxSwap,     5, 1.39,     5,    23
3x3,    36.txt, astar, NMaxSwap,     5, 1.39,     5,    21
3x3,    37.txt, astar, NMaxSwap,     7, 1.48,     5,    23
3x3,    38.txt, astar, NMaxSwap,     5, 1.39,     5,    23
3x3,    39.txt, astar, NMaxSwap,     5, 1.39,     5,    22
3x3,    40.txt, astar, NMaxSwap,     5, 1.39,     5,    21
3x3,    41.txt, astar, NMaxSwap,     6, 1.44,     5,    22
3x3,    42.txt, astar, NMaxSwap,     5, 1.39,     5,    22
3x3,    43.txt, astar, NMaxSwap,     5, 1.39,     5,    21
3x3,    44.txt, astar, NMaxSwap,     6, 1.48,     5,    23
3x3,    45.txt, astar, NMaxSwap,     5, 1.39,     5,    23
3x3,    46.txt, astar, NMaxSwap,     5, 1.39,     5,    22
3x3,    47.txt, astar, NMaxSwap,     5, 1.34,     5,    22
3x3,    48.txt, astar, NMaxSwap,     5, 1.39,     5,    23
3x3,    49.txt, astar, NMaxSwap,     7, 1.52,     5,    23
3x3,    50.txt, astar, NMaxSwap,     5, 1.39,     5,    24
3x3,    51.txt, astar, NMaxSwap,    14, 1.82,     5,    28
3x3,    66.txt, astar, NMaxSwap,    11, 1.51,     6,    24
3x3,    67.txt, astar, NMaxSwap,     7, 1.39,     6,    23
3x3,    68.txt, astar, NMaxSwap,     9, 1.45,     6,    25
3x3,    69.txt, astar, NMaxSwap,    13, 1.57,     6,    26
3x3,    70.txt, astar, NMaxSwap,     6, 1.31,     6,    23
3x3,    71.txt, astar, NMaxSwap,     7, 1.36,     6,    25
3x3,    72.txt, astar, NMaxSwap,    26, 1.83,     6,    32
3x3,    73.txt, astar, NMaxSwap,     6, 1.31,     6,    23
3x3,    74.txt, astar, NMaxSwap,     6, 1.27,     6,    21
3x3,    75.txt, astar, NMaxSwap,     7, 1.36,     6,    23
3x3,    76.txt, astar, NMaxSwap,    15, 1.65,     6,    26
3x3,    77.txt, astar, NMaxSwap,    10, 1.49,     6,    24
3x3,    78.txt, astar, NMaxSwap,     6, 1.31,     6,    22
3x3,    79.txt, astar, NMaxSwap,     6, 1.31,     6,    25
3x3,    80.txt, astar, NMaxSwap,    13, 1.54,     6,    25
3x3,    81.txt, astar, NMaxSwap,    10, 1.49,     6,    24
3x3,    82.txt, astar, NMaxSwap,     6, 1.31,     6,    22
3x3,    83.txt, astar, NMaxSwap,    10, 1.49,     6,    26
3x3,    84.txt, astar, NMaxSwap,     7, 1.36,     6,    22
3x3,    85.txt, astar, NMaxSwap,     7, 1.39,     6,    22
3x3,    86.txt, astar, NMaxSwap,     7, 1.36,     6,    22
3x3,    87.txt, astar, NMaxSwap,     7, 1.34,     6,    22
3x3,    88.txt, astar, NMaxSwap,     6, 1.27,     6,    21
3x3,    89.txt, astar, NMaxSwap,     6, 1.31,     6,    22
3x3,    90.txt, astar, NMaxSwap,     9, 1.45,     6,    24
3x3,   137.txt, astar, NMaxSwap,     7, 1.27,     7,    23
3x3,   138.txt, astar, NMaxSwap,    14, 1.46,     7,    26
3x3,   139.txt, astar, NMaxSwap,    11, 1.40,     7,    28
3x3,   140.txt, astar, NMaxSwap,   111, 2.08,     7,    51
3x3,   141.txt, astar, NMaxSwap,    11, 1.40,     7,    24
3x3,   142.txt, astar, NMaxSwap,    25, 1.62,     7,    31
3x3,   143.txt, astar, NMaxSwap,    25, 1.61,     7,    31
3x3,   144.txt, astar, NMaxSwap,    14, 1.46,     7,    26
3x3,   145.txt, astar, NMaxSwap,     7, 1.27,     7,    23
3x3,   146.txt, astar, NMaxSwap,     8, 1.32,     7,    24
3x3,   147.txt, astar, NMaxSwap,    17, 1.50,     7,    27
3x3,   148.txt, astar, NMaxSwap,    35, 1.71,     7,    35
3x3,   149.txt, astar, NMaxSwap,   131, 2.12,     7,    58
3x3,   150.txt, astar, NMaxSwap,    19, 1.52,     7,    29
3x3,   151.txt, astar, NMaxSwap,    10, 1.37,     7,    24
3x3,   152.txt, astar, NMaxSwap,     9, 1.34,     7,    24
3x3,    91.txt, astar, NMaxSwap,     7, 1.27,     7,    23
3x3,    92.txt, astar, NMaxSwap,    15, 1.47,     7,    26
3x3,    93.txt, astar, NMaxSwap,     7, 1.27,     7,    24
3x3,    94.txt, astar, NMaxSwap,    14, 1.46,     7,    26
3x3,    95.txt, astar, NMaxSwap,    24, 1.61,     7,    31
3x3,    96.txt, astar, NMaxSwap,    12, 1.41,     7,    24
