boardID,algo,heur,size,expanded,branching,time,cost
1.txt,astar,disjointPDBHorizontal,3x3,1,2.0,4893,1
2.txt,astar,disjointPDBHorizontal,3x3,1,2.0,4814,1
3.txt,astar,disjointPDBHorizontal,3x3,2,1.19,4723,2
4.txt,astar,disjointPDBHorizontal,3x3,2,0.79,4770,2
5.txt,astar,disjointPDBHorizontal,3x3,0,0.0,3,0
6.txt,astar,disjointPDBHorizontal,3x3,2,1.19,4683,2
7.txt,astar,disjointPDBHorizontal,3x3,2,0.79,4686,2
10.txt,astar,disjointPDBHorizontal,3x3,3,0.58,4877,3
11.txt,astar,disjointPDBHorizontal,3x3,3,0.74,4713,3
12.txt,astar,disjointPDBHorizontal,3x3,3,0.74,4806,3
13.txt,astar,disjointPDBHorizontal,3x3,3,0.74,4724,3
14.txt,astar,disjointPDBHorizontal,3x3,3,0.74,4742,3
15.txt,astar,disjointPDBHorizontal,3x3,3,0.74,4744,3
8.txt,astar,disjointPDBHorizontal,3x3,3,0.74,4689,3
9.txt,astar,disjointPDBHorizontal,3x3,3,0.58,4710,3
16.txt,astar,disjointPDBHorizontal,3x3,4,0.49,4766,4
17.txt,astar,disjointPDBHorizontal,3x3,4,0.49,4836,4
18.txt,astar,disjointPDBHorizontal,3x3,4,0.49,4694,4
19.txt,astar,disjointPDBHorizontal,3x3,4,0.49,4772,4
20.txt,astar,disjointPDBHorizontal,3x3,4,0.49,5016,4
21.txt,astar,disjointPDBHorizontal,3x3,4,0.49,4862,4
22.txt,astar,disjointPDBHorizontal,3x3,4,0.4,4687,4
23.txt,astar,disjointPDBHorizontal,3x3,4,0.4,4738,4
24.txt,astar,disjointPDBHorizontal,3x3,4,0.49,4783,4
25.txt,astar,disjointPDBHorizontal,3x3,4,0.49,4778,4
26.txt,astar,disjointPDBHorizontal,3x3,4,0.49,4744,4
27.txt,astar,disjointPDBHorizontal,3x3,4,0.49,4733,4
28.txt,astar,disjointPDBHorizontal,3x3,4,0.49,4821,4
29.txt,astar,disjointPDBHorizontal,3x3,4,0.49,4809,4
30.txt,astar,disjointPDBHorizontal,3x3,4,0.49,4758,4
31.txt,astar,disjointPDBHorizontal,3x3,4,0.49,4830,4
32.txt,astar,disjointPDBHorizontal,3x3,5,0.39,4713,5
33.txt,astar,disjointPDBHorizontal,3x3,5,0.39,4779,5
34.txt,astar,disjointPDBHorizontal,3x3,5,0.34,4761,5
35.txt,astar,disjointPDBHorizontal,3x3,5,0.39,4737,5
36.txt,astar,disjointPDBHorizontal,3x3,5,0.39,4743,5
37.txt,astar,disjointPDBHorizontal,3x3,5,0.39,4724,5
38.txt,astar,disjointPDBHorizontal,3x3,5,0.39,4796,5
39.txt,astar,disjointPDBHorizontal,3x3,5,0.39,4744,5
40.txt,astar,disjointPDBHorizontal,3x3,5,0.39,4761,5
41.txt,astar,disjointPDBHorizontal,3x3,5,0.39,4722,5
42.txt,astar,disjointPDBHorizontal,3x3,5,0.39,4683,5
43.txt,astar,disjointPDBHorizontal,3x3,5,0.39,4771,5
44.txt,astar,disjointPDBHorizontal,3x3,5,0.39,4776,5
45.txt,astar,disjointPDBHorizontal,3x3,5,0.39,4797,5
46.txt,astar,disjointPDBHorizontal,3x3,5,0.39,4740,5
47.txt,astar,disjointPDBHorizontal,3x3,5,0.34,4763,5
48.txt,astar,disjointPDBHorizontal,3x3,5,0.39,4811,5
49.txt,astar,disjointPDBHorizontal,3x3,5,0.39,4728,5
50.txt,astar,disjointPDBHorizontal,3x3,5,0.39,4769,5
51.txt,astar,disjointPDBHorizontal,3x3,5,0.39,4805,5
66.txt,astar,disjointPDBHorizontal,3x3,6,0.31,4800,6
67.txt,astar,disjointPDBHorizontal,3x3,8,0.42,4835,6
68.txt,astar,disjointPDBHorizontal,3x3,8,0.42,4717,6
69.txt,astar,disjointPDBHorizontal,3x3,6,0.31,4794,6
70.txt,astar,disjointPDBHorizontal,3x3,6,0.31,4705,6
71.txt,astar,disjointPDBHorizontal,3x3,6,0.31,4757,6
72.txt,astar,disjointPDBHorizontal,3x3,11,0.53,4767,6
73.txt,astar,disjointPDBHorizontal,3x3,6,0.31,4790,6
74.txt,astar,disjointPDBHorizontal,3x3,6,0.27,4788,6
75.txt,astar,disjointPDBHorizontal,3x3,6,0.31,4697,6
76.txt,astar,disjointPDBHorizontal,3x3,6,0.34,5014,6
77.txt,astar,disjointPDBHorizontal,3x3,6,0.34,4663,6
78.txt,astar,disjointPDBHorizontal,3x3,6,0.31,4768,6
79.txt,astar,disjointPDBHorizontal,3x3,6,0.31,4737,6
80.txt,astar,disjointPDBHorizontal,3x3,6,0.31,4752,6
81.txt,astar,disjointPDBHorizontal,3x3,6,0.31,4735,6
82.txt,astar,disjointPDBHorizontal,3x3,6,0.31,4787,6
83.txt,astar,disjointPDBHorizontal,3x3,6,0.34,4923,6
84.txt,astar,disjointPDBHorizontal,3x3,6,0.31,4764,6
85.txt,astar,disjointPDBHorizontal,3x3,8,0.42,4774,6
86.txt,astar,disjointPDBHorizontal,3x3,6,0.31,4757,6
87.txt,astar,disjointPDBHorizontal,3x3,6,0.31,4786,6
88.txt,astar,disjointPDBHorizontal,3x3,6,0.27,4801,6
89.txt,astar,disjointPDBHorizontal,3x3,6,0.31,4806,6
90.txt,astar,disjointPDBHorizontal,3x3,8,0.42,4725,6
137.txt,astar,disjointPDBHorizontal,3x3,7,0.27,4786,7
138.txt,astar,disjointPDBHorizontal,3x3,7,0.29,4719,7
139.txt,astar,disjointPDBHorizontal,3x3,7,0.29,4677,7
140.txt,astar,disjointPDBHorizontal,3x3,7,0.27,4859,7
141.txt,astar,disjointPDBHorizontal,3x3,7,0.29,4716,7
142.txt,astar,disjointPDBHorizontal,3x3,7,0.27,4809,7
143.txt,astar,disjointPDBHorizontal,3x3,7,0.29,4749,7
144.txt,astar,disjointPDBHorizontal,3x3,7,0.29,4850,7
145.txt,astar,disjointPDBHorizontal,3x3,7,0.27,4738,7
146.txt,astar,disjointPDBHorizontal,3x3,9,0.34,4732,7
147.txt,astar,disjointPDBHorizontal,3x3,9,0.34,4734,7
148.txt,astar,disjointPDBHorizontal,3x3,7,0.27,4812,7
149.txt,astar,disjointPDBHorizontal,3x3,7,0.27,4761,7
150.txt,astar,disjointPDBHorizontal,3x3,17,0.49,4877,7
151.txt,astar,disjointPDBHorizontal,3x3,9,0.34,4721,7
152.txt,astar,disjointPDBHorizontal,3x3,17,0.49,4896,7
91.txt,astar,disjointPDBHorizontal,3x3,7,0.27,4731,7
