algo,heur,size,boardID
astar,NMaxSwap,3x3,426
astar,NMaxSwap,4x4,440
astar,disjointPDBHorizontal,3x3,426
astar,disjointPDBHorizontal,4x4,84
astar,disjointPDBMax,3x3,426
astar,disjointPDBMax,4x4,83
astar,disjointPDBVertical,3x3,426
astar,disjointPDBVertical,4x4,84
astar,linearConflict,3x3,426
astar,linearConflict,4x4,441
astar,manhattan,3x3,426
astar,manhattan,4x4,441
astar,nonAdditiveFringe,3x3,426
astar,nonAdditiveFringe,4x4,84
astar,nonAdditiveMax,3x3,426
astar,nonAdditiveMax,4x4,84
ida,linearConflict,3x3,426
ida,linearConflict,4x4,441
