boardID,algo,heur,size,expanded,branching,time,cost
1.txt,astar,linearConflict,3x3,1,3.0,37,1
2.txt,astar,linearConflict,3x3,1,3.0,39,1
3.txt,astar,linearConflict,3x3,2,2.19,39,2
4.txt,astar,linearConflict,3x3,2,1.79,36,2
5.txt,astar,linearConflict,3x3,0,1.0,3,0
6.txt,astar,linearConflict,3x3,2,2.19,37,2
7.txt,astar,linearConflict,3x3,2,1.79,39,2
10.txt,astar,linearConflict,3x3,3,1.58,38,3
11.txt,astar,linearConflict,3x3,3,1.74,40,3
12.txt,astar,linearConflict,3x3,3,1.74,43,3
13.txt,astar,linearConflict,3x3,3,1.74,41,3
14.txt,astar,linearConflict,3x3,3,1.74,39,3
15.txt,astar,linearConflict,3x3,3,1.74,40,3
8.txt,astar,linearConflict,3x3,3,1.74,40,3
9.txt,astar,linearConflict,3x3,3,1.58,39,3
16.txt,astar,linearConflict,3x3,4,1.49,40,4
17.txt,astar,linearConflict,3x3,4,1.49,40,4
18.txt,astar,linearConflict,3x3,4,1.49,40,4
19.txt,astar,linearConflict,3x3,4,1.49,40,4
20.txt,astar,linearConflict,3x3,4,1.49,39,4
21.txt,astar,linearConflict,3x3,4,1.49,40,4
22.txt,astar,linearConflict,3x3,4,1.4,39,4
23.txt,astar,linearConflict,3x3,4,1.4,40,4
24.txt,astar,linearConflict,3x3,4,1.49,40,4
25.txt,astar,linearConflict,3x3,4,1.49,41,4
26.txt,astar,linearConflict,3x3,4,1.49,40,4
27.txt,astar,linearConflict,3x3,4,1.49,40,4
28.txt,astar,linearConflict,3x3,4,1.49,40,4
29.txt,astar,linearConflict,3x3,4,1.49,40,4
30.txt,astar,linearConflict,3x3,4,1.49,40,4
31.txt,astar,linearConflict,3x3,4,1.49,38,4
32.txt,astar,linearConflict,3x3,5,1.39,40,5
33.txt,astar,linearConflict,3x3,5,1.39,40,5
34.txt,astar,linearConflict,3x3,5,1.34,42,5
35.txt,astar,linearConflict,3x3,5,1.39,41,5
36.txt,astar,linearConflict,3x3,5,1.39,41,5
37.txt,astar,linearConflict,3x3,6,1.44,41,5
38.txt,astar,linearConflict,3x3,5,1.39,41,5
39.txt,astar,linearConflict,3x3,5,1.39,41,5
40.txt,astar,linearConflict,3x3,5,1.39,41,5
41.txt,astar,linearConflict,3x3,6,1.44,42,5
42.txt,astar,linearConflict,3x3,5,1.39,40,5
43.txt,astar,linearConflict,3x3,5,1.39,41,5
44.txt,astar,linearConflict,3x3,6,1.44,42,5
45.txt,astar,linearConflict,3x3,5,1.39,40,5
46.txt,astar,linearConflict,3x3,5,1.39,41,5
47.txt,astar,linearConflict,3x3,5,1.34,40,5
48.txt,astar,linearConflict,3x3,5,1.39,40,5
49.txt,astar,linearConflict,3x3,6,1.44,41,5
50.txt,astar,linearConflict,3x3,5,1.39,41,5
51.txt,astar,linearConflict,3x3,5,1.39,40,5
66.txt,astar,linearConflict,3x3,9,1.42,43,6
67.txt,astar,linearConflict,3x3,8,1.42,43,6
68.txt,astar,linearConflict,3x3,8,1.42,43,6
69.txt,astar,linearConflict,3x3,7,1.34,42,6
70.txt,astar,linearConflict,3x3,6,1.31,41,6
71.txt,astar,linearConflict,3x3,6,1.31,41,6
72.txt,astar,linearConflict,3x3,11,1.53,45,6
73.txt,astar,linearConflict,3x3,6,1.31,41,6
74.txt,astar,linearConflict,3x3,6,1.27,40,6
75.txt,astar,linearConflict,3x3,6,1.31,41,6
76.txt,astar,linearConflict,3x3,7,1.37,42,6
77.txt,astar,linearConflict,3x3,8,1.42,43,6
78.txt,astar,linearConflict,3x3,6,1.31,42,6
79.txt,astar,linearConflict,3x3,6,1.31,41,6
80.txt,astar,linearConflict,3x3,9,1.42,42,6
81.txt,astar,linearConflict,3x3,9,1.42,44,6
82.txt,astar,linearConflict,3x3,6,1.31,40,6
83.txt,astar,linearConflict,3x3,8,1.42,43,6
84.txt,astar,linearConflict,3x3,6,1.31,42,6
85.txt,astar,linearConflict,3x3,8,1.42,44,6
86.txt,astar,linearConflict,3x3,6,1.31,41,6
87.txt,astar,linearConflict,3x3,9,1.42,43,6
88.txt,astar,linearConflict,3x3,6,1.27,41,6
89.txt,astar,linearConflict,3x3,6,1.31,41,6
90.txt,astar,linearConflict,3x3,8,1.42,43,6
137.txt,astar,linearConflict,3x3,7,1.27,41,7
138.txt,astar,linearConflict,3x3,9,1.34,43,7
139.txt,astar,linearConflict,3x3,9,1.34,44,7
140.txt,astar,linearConflict,3x3,18,1.5,47,7
141.txt,astar,linearConflict,3x3,9,1.34,45,7
142.txt,astar,linearConflict,3x3,14,1.44,45,7
143.txt,astar,linearConflict,3x3,17,1.49,47,7
144.txt,astar,linearConflict,3x3,9,1.34,43,7
145.txt,astar,linearConflict,3x3,7,1.27,42,7
146.txt,astar,linearConflict,3x3,9,1.34,42,7
147.txt,astar,linearConflict,3x3,9,1.34,43,7
148.txt,astar,linearConflict,3x3,7,1.27,42,7
149.txt,astar,linearConflict,3x3,7,1.27,42,7
150.txt,astar,linearConflict,3x3,17,1.49,47,7
151.txt,astar,linearConflict,3x3,9,1.34,42,7
152.txt,astar,linearConflict,3x3,17,1.49,47,7
91.txt,astar,linearConflict,3x3,7,1.27,42,7
92.txt,astar,linearConflict,3x3,9,1.34,43,7
93.txt,astar,linearConflict,3x3,7,1.27,42,7
94.txt,astar,linearConflict,3x3,9,1.34,43,7
95.txt,astar,linearConflict,3x3,15,1.47,46,7
96.txt,astar,linearConflict,3x3,10,1.34,43,7
97.txt,astar,linearConflict,3x3,8,1.29,42,7
98.txt,astar,linearConflict,3x3,7,1.27,42,7
99.txt,astar,linearConflict,3x3,9,1.34,44,7
244.txt,astar,linearConflict,3x3,24,1.46,51,8
