3x3,     1.txt, astar, disjointPDBHorizontal,     1, 3.00,     1,  4893
3x3,     2.txt, astar, disjointPDBHorizontal,     1, 3.00,     1,  4814
3x3,     3.txt, astar, disjointPDBHorizontal,     2, 2.19,     2,  4723
3x3,     4.txt, astar, disjointPDBHorizontal,     2, 1.79,     2,  4770
3x3,     5.txt, astar, disjointPDBHorizontal,     0, 1.00,     0,     3
3x3,     6.txt, astar, disjointPDBHorizontal,     2, 2.19,     2,  4683
3x3,     7.txt, astar, disjointPDBHorizontal,     2, 1.79,     2,  4686
3x3,    10.txt, astar, disjointPDBHorizontal,     3, 1.58,     3,  4877
3x3,    11.txt, astar, disjointPDBHorizontal,     3, 1.74,     3,  4713
3x3,    12.txt, astar, disjointPDBHorizontal,     3, 1.74,     3,  4806
3x3,    13.txt, astar, disjointPDBHorizontal,     3, 1.74,     3,  4724
3x3,    14.txt, astar, disjointPDBHorizontal,     3, 1.74,     3,  4742
3x3,    15.txt, astar, disjointPDBHorizontal,     3, 1.74,     3,  4744
3x3,     8.txt, astar, disjointPDBHorizontal,     3, 1.74,     3,  4689
3x3,     9.txt, astar, disjointPDBHorizontal,     3, 1.58,     3,  4710
3x3,    16.txt, astar, disjointPDBHorizontal,     4, 1.49,     4,  4766
3x3,    17.txt, astar, disjointPDBHorizontal,     4, 1.49,     4,  4836
3x3,    18.txt, astar, disjointPDBHorizontal,     4, 1.49,     4,  4694
3x3,    19.txt, astar, disjointPDBHorizontal,     4, 1.49,     4,  4772
3x3,    20.txt, astar, disjointPDBHorizontal,     4, 1.49,     4,  5016
3x3,    21.txt, astar, disjointPDBHorizontal,     4, 1.49,     4,  4862
3x3,    22.txt, astar, disjointPDBHorizontal,     4, 1.40,     4,  4687
3x3,    23.txt, astar, disjointPDBHorizontal,     4, 1.40,     4,  4738
3x3,    24.txt, astar, disjointPDBHorizontal,     4, 1.49,     4,  4783
3x3,    25.txt, astar, disjointPDBHorizontal,     4, 1.49,     4,  4778
3x3,    26.txt, astar, disjointPDBHorizontal,     4, 1.49,     4,  4744
3x3,    27.txt, astar, disjointPDBHorizontal,     4, 1.49,     4,  4733
3x3,    28.txt, astar, disjointPDBHorizontal,     4, 1.49,     4,  4821
3x3,    29.txt, astar, disjointPDBHorizontal,     4, 1.49,     4,  4809
3x3,    30.txt, astar, disjointPDBHorizontal,     4, 1.49,     4,  4758
3x3,    31.txt, astar, disjointPDBHorizontal,     4, 1.49,     4,  4830
3x3,    32.txt, astar, disjointPDBHorizontal,     5, 1.39,     5,  4713
3x3,    33.txt, astar, disjointPDBHorizontal,     5, 1.39,     5,  4779
3x3,    34.txt, astar, disjointPDBHorizontal,     5, 1.34,     5,  4761
3x3,    35.txt, astar, disjointPDBHorizontal,     5, 1.39,     5,  4737
3x3,    36.txt, astar, disjointPDBHorizontal,     5, 1.39,     5,  4743
3x3,    37.txt, astar, disjointPDBHorizontal,     5, 1.39,     5,  4724
3x3,    38.txt, astar, disjointPDBHorizontal,     5, 1.39,     5,  4796
3x3,    39.txt, astar, disjointPDBHorizontal,     5, 1.39,     5,  4744
3x3,    40.txt, astar, disjointPDBHorizontal,     5, 1.39,     5,  4761
3x3,    41.txt, astar, disjointPDBHorizontal,     5, 1.39,     5,  4722
3x3,    42.txt, astar, disjointPDBHorizontal,     5, 1.39,     5,  4683
3x3,    43.txt, astar, disjointPDBHorizontal,     5, 1.39,     5,  4771
3x3,    44.txt, astar, disjointPDBHorizontal,     5, 1.39,     5,  4776
3x3,    45.txt, astar, disjointPDBHorizontal,     5, 1.39,     5,  4797
3x3,    46.txt, astar, disjointPDBHorizontal,     5, 1.39,     5,  4740
3x3,    47.txt, astar, disjointPDBHorizontal,     5, 1.34,     5,  4763
3x3,    48.txt, astar, disjointPDBHorizontal,     5, 1.39,     5,  4811
