3x3,     1.txt, astar, disjointPDBMax,     1, 3.00,     1,  6389
3x3,     2.txt, astar, disjointPDBMax,     1, 3.00,     1,  6534
3x3,     3.txt, astar, disjointPDBMax,     2, 2.19,     2,  6500
3x3,     4.txt, astar, disjointPDBMax,     2, 1.79,     2,  6495
3x3,     5.txt, astar, disjointPDBMax,     0, 1.00,     0,     3
3x3,     6.txt, astar, disjointPDBMax,     2, 2.19,     2,  6480
3x3,     7.txt, astar, disjointPDBMax,     2, 1.79,     2,  6594
3x3,    10.txt, astar, disjointPDBMax,     3, 1.58,     3,  6477
3x3,    11.txt, astar, disjointPDBMax,     3, 1.74,     3,  6445
3x3,    12.txt, astar, disjointPDBMax,     3, 1.74,     3,  6510
3x3,    13.txt, astar, disjointPDBMax,     3, 1.74,     3,  6450
3x3,    14.txt, astar, disjointPDBMax,     3, 1.74,     3,  6458
3x3,    15.txt, astar, disjointPDBMax,     3, 1.74,     3,  6405
3x3,     8.txt, astar, disjointPDBMax,     3, 1.74,     3,  6375
3x3,     9.txt, astar, disjointPDBMax,     3, 1.58,     3,  6399
3x3,    16.txt, astar, disjointPDBMax,     4, 1.49,     4,  6414
3x3,    17.txt, astar, disjointPDBMax,     4, 1.49,     4,  6453
3x3,    18.txt, astar, disjointPDBMax,     4, 1.49,     4,  6333
3x3,    19.txt, astar, disjointPDBMax,     4, 1.49,     4,  6432
3x3,    20.txt, astar, disjointPDBMax,     4, 1.49,     4,  6498
3x3,    21.txt, astar, disjointPDBMax,     4, 1.49,     4,  6329
3x3,    22.txt, astar, disjointPDBMax,     4, 1.40,     4,  6501
3x3,    23.txt, astar, disjointPDBMax,     4, 1.40,     4,  6468
3x3,    24.txt, astar, disjointPDBMax,     4, 1.49,     4,  6417
3x3,    25.txt, astar, disjointPDBMax,     4, 1.49,     4,  6440
3x3,    26.txt, astar, disjointPDBMax,     4, 1.49,     4,  6473
3x3,    27.txt, astar, disjointPDBMax,     4, 1.49,     4,  6426
3x3,    28.txt, astar, disjointPDBMax,     4, 1.49,     4,  6429
3x3,    29.txt, astar, disjointPDBMax,     4, 1.49,     4,  6352
3x3,    30.txt, astar, disjointPDBMax,     4, 1.49,     4,  6489
3x3,    31.txt, astar, disjointPDBMax,     4, 1.49,     4,  6413
3x3,    32.txt, astar, disjointPDBMax,     5, 1.39,     5,  6411
3x3,    33.txt, astar, disjointPDBMax,     5, 1.39,     5,  6394
3x3,    34.txt, astar, disjointPDBMax,     5, 1.34,     5,  6596
3x3,    35.txt, astar, disjointPDBMax,     5, 1.39,     5,  6534
