3x3,     1.txt, astar, disjointPDBVertical,     1, 3.00,     1,  4864
3x3,     2.txt, astar, disjointPDBVertical,     1, 3.00,     1,  4746
3x3,     3.txt, astar, disjointPDBVertical,     2, 2.19,     2,  4967
3x3,     4.txt, astar, disjointPDBVertical,     2, 1.79,     2,  4779
3x3,     5.txt, astar, disjointPDBVertical,     0, 1.00,     0,     3
3x3,     6.txt, astar, disjointPDBVertical,     2, 2.19,     2,  4851
3x3,     7.txt, astar, disjointPDBVertical,     2, 1.79,     2,  4702
3x3,    10.txt, astar, disjointPDBVertical,     3, 1.58,     3,  4701
3x3,    11.txt, astar, disjointPDBVertical,     3, 1.74,     3,  4680
3x3,    12.txt, astar, disjointPDBVertical,     3, 1.74,     3,  4770
3x3,    13.txt, astar, disjointPDBVertical,     3, 1.74,     3,  4838
3x3,    14.txt, astar, disjointPDBVertical,     3, 1.74,     3,  4736
3x3,    15.txt, astar, disjointPDBVertical,     3, 1.74,     3,  4833
3x3,     8.txt, astar, disjointPDBVertical,     3, 1.74,     3,  4807
3x3,     9.txt, astar, disjointPDBVertical,     3, 1.58,     3,  4777
3x3,    16.txt, astar, disjointPDBVertical,     4, 1.49,     4,  4800
3x3,    17.txt, astar, disjointPDBVertical,     4, 1.49,     4,  4718
3x3,    18.txt, astar, disjointPDBVertical,     4, 1.49,     4,  4701
3x3,    19.txt, astar, disjointPDBVertical,     4, 1.49,     4,  4761
3x3,    20.txt, astar, disjointPDBVertical,     4, 1.49,     4,  4721
3x3,    21.txt, astar, disjointPDBVertical,     4, 1.49,     4,  4867
3x3,    22.txt, astar, disjointPDBVertical,     4, 1.40,     4,  4698
3x3,    23.txt, astar, disjointPDBVertical,     4, 1.40,     4,  4727
3x3,    24.txt, astar, disjointPDBVertical,     4, 1.49,     4,  4685
3x3,    25.txt, astar, disjointPDBVertical,     4, 1.49,     4,  4759
3x3,    26.txt, astar, disjointPDBVertical,     4, 1.49,     4,  4916
3x3,    27.txt, astar, disjointPDBVertical,     4, 1.49,     4,  4799
