3x3,     1.txt, ida, linearConflict,     2, 2.00,     1,     7
3x3,     2.txt, ida, linearConflict,     2, 2.00,     1,     7
3x3,     3.txt, ida, linearConflict,     3, 1.30,     2,     8
3x3,     4.txt, ida, linearConflict,     3, 1.30,     2,     8
3x3,     6.txt, ida, linearConflict,     3, 1.30,     2,     8
3x3,     7.txt, ida, linearConflict,     3, 1.30,     2,     7
3x3,    10.txt, ida, linearConflict,     4, 1.15,     3,     8
3x3,    11.txt, ida, linearConflict,     4, 1.15,     3,     9
3x3,    12.txt, ida, linearConflict,     4, 1.15,     3,     8
3x3,    13.txt, ida, linearConflict,     4, 1.15,     3,    10
3x3,    14.txt, ida, linearConflict,     4, 1.15,     3,     8
3x3,    15.txt, ida, linearConflict,     4, 1.15,     3,     9
3x3,     8.txt, ida, linearConflict,     4, 1.15,     3,     9
3x3,     9.txt, ida, linearConflict,     4, 1.15,     3,     8
3x3,    16.txt, ida, linearConflict,     5, 1.09,     4,    10
3x3,    17.txt, ida, linearConflict,     5, 1.09,     4,    10
3x3,    18.txt, ida, linearConflict,     5, 1.09,     4,    11
3x3,    19.txt, ida, linearConflict,     5, 1.09,     4,     9
3x3,    20.txt, ida, linearConflict,     5, 1.09,     4,     9
3x3,    21.txt, ida, linearConflict,     5, 1.09,     4,     8
3x3,    22.txt, ida, linearConflict,     5, 1.09,     4,     9
3x3,    23.txt, ida, linearConflict,     5, 1.09,     4,    10
3x3,    24.txt, ida, linearConflict,     5, 1.09,     4,    11
3x3,    25.txt, ida, linearConflict,     5, 1.09,     4,     9
3x3,    26.txt, ida, linearConflict,     5, 1.09,     4,    10
3x3,    27.txt, ida, linearConflict,     5, 1.09,     4,    10
3x3,    28.txt, ida, linearConflict,     5, 1.09,     4,    10
3x3,    29.txt, ida, linearConflict,     5, 1.09,     4,    10
3x3,    30.txt, ida, linearConflict,     5, 1.09,     4,     9
3x3,    31.txt, ida, linearConflict,     5, 1.09,     4,     9
3x3,    32.txt, ida, linearConflict,     6, 1.06,     5,    11
3x3,    33.txt, ida, linearConflict,     6, 1.06,     5,    11
3x3,    34.txt, ida, linearConflict,     6, 1.06,     5,    11
3x3,    35.txt, ida, linearConflict,     6, 1.06,     5,    12
3x3,    36.txt, ida, linearConflict,     6, 1.06,     5,    11
3x3,    37.txt, ida, linearConflict,     6, 1.06,     5,    11
3x3,    38.txt, ida, linearConflict,     6, 1.06,     5,    10
3x3,    39.txt, ida, linearConflict,     6, 1.06,     5,    10
3x3,    40.txt, ida, linearConflict,     6, 1.06,     5,     9
3x3,    41.txt, ida, linearConflict,     7, 1.11,     5,    12
3x3,    42.txt, ida, linearConflict,     6, 1.06,     5,    11
3x3,    43.txt, ida, linearConflict,     6, 1.06,     5,    10
3x3,    44.txt, ida, linearConflict,     7, 1.11,     5,    12
3x3,    45.txt, ida, linearConflict,     6, 1.06,     5,    10
3x3,    46.txt, ida, linearConflict,     6, 1.06,     5,    10
3x3,    47.txt, ida, linearConflict,     6, 1.06,     5,    11
3x3,    48.txt, ida, linearConflict,     6, 1.06,     5,    12
3x3,    49.txt, ida, linearConflict,     7, 1.11,     5,    12
3x3,    50.txt, ida, linearConflict,     6, 1.06,     5,    11
3x3,    51.txt, ida, linearConflict,     6, 1.06,     5,    11
3x3,    66.txt, ida, linearConflict,     9, 1.12,     6,    12
3x3,    67.txt, ida, linearConflict,     9, 1.12,     6,    13
3x3,    68.txt, ida, linearConflict,     7, 1.04,     6,    12
3x3,    69.txt, ida, linearConflict,     8, 1.08,     6,    13
3x3,    70.txt, ida, linearConflict,     7, 1.04,     6,    11
3x3,    71.txt, ida, linearConflict,     7, 1.04,     6,    10
3x3,    72.txt, ida, linearConflict,     7, 1.04,     6,    12
3x3,    73.txt, ida, linearConflict,     7, 1.04,     6,    11
3x3,    74.txt, ida, linearConflict,     7, 1.04,     6,    11
3x3,    75.txt, ida, linearConflict,     7, 1.04,     6,    12
3x3,    76.txt, ida, linearConflict,     8, 1.08,     6,    13
3x3,    77.txt, ida, linearConflict,     9, 1.12,     6,    13
3x3,    78.txt, ida, linearConflict,     7, 1.04,     6,    12
3x3,    79.txt, ida, linearConflict,     7, 1.04,     6,    10
3x3,    80.txt, ida, linearConflict,    10, 1.15,     6,    13
3x3,    81.txt, ida, linearConflict,    11, 1.18,     6,    14
3x3,    82.txt, ida, linearConflict,     7, 1.04,     6,    12
3x3,    83.txt, ida, linearConflict,     9, 1.12,     6,    13
3x3,    84.txt, ida, linearConflict,     7, 1.04,     6,    12
3x3,    85.txt, ida, linearConflict,     9, 1.12,     6,    13
3x3,    86.txt, ida, linearConflict,     7, 1.04,     6,    11
3x3,    87.txt, ida, linearConflict,     9, 1.12,     6,    12
3x3,    88.txt, ida, linearConflict,     7, 1.04,     6,    12
3x3,    89.txt, ida, linearConflict,     7, 1.04,     6,    12
3x3,    90.txt, ida, linearConflict,     9, 1.12,     6,    14
3x3,   137.txt, ida, linearConflict,     8, 1.03,     7,    13
3x3,   138.txt, ida, linearConflict,    10, 1.09,     7,    13
3x3,   139.txt, ida, linearConflict,    10, 1.09,     7,    13
3x3,   140.txt, ida, linearConflict,    16, 1.21,     7,    16
3x3,   141.txt, ida, linearConflict,    10, 1.09,     7,    13
3x3,   142.txt, ida, linearConflict,    13, 1.16,     7,    14
3x3,   143.txt, ida, linearConflict,    12, 1.14,     7,    15
3x3,   144.txt, ida, linearConflict,    10, 1.09,     7,    13
3x3,   145.txt, ida, linearConflict,     8, 1.03,     7,    12
3x3,   146.txt, ida, linearConflict,    10, 1.09,     7,    14
3x3,   147.txt, ida, linearConflict,    10, 1.09,     7,    14
3x3,   148.txt, ida, linearConflict,     8, 1.03,     7,    12
3x3,   149.txt, ida, linearConflict,     8, 1.03,     7,    12
3x3,   150.txt, ida, linearConflict,    12, 1.14,     7,    14
3x3,   151.txt, ida, linearConflict,    10, 1.09,     7,    13
3x3,   152.txt, ida, linearConflict,    20, 1.27,     7,    18
3x3,    91.txt, ida, linearConflict,     8, 1.03,     7,    12
3x3,    92.txt, ida, linearConflict,    10, 1.09,     7,    13
3x3,    93.txt, ida, linearConflict,     8, 1.03,     7,    12
3x3,    94.txt, ida, linearConflict,     8, 1.03,     7,    14
3x3,    95.txt, ida, linearConflict,     8, 1.03,     7,    12
3x3,    96.txt, ida, linearConflict,    11, 1.11,     7,    14
3x3,    97.txt, ida, linearConflict,     9, 1.06,     7,    13
3x3,    98.txt, ida, linearConflict,     8, 1.03,     7,    12
3x3,    99.txt, ida, linearConflict,    10, 1.09,     7,    14
3x3,   244.txt, ida, linearConflict,    20, 1.20,     8,    18
3x3,   245.txt, ida, linearConflict,    11, 1.07,     8,    14
