3x3,     1.txt, astar, linearConflict,     1, 3.00,     1,    37
3x3,     2.txt, astar, linearConflict,     1, 3.00,     1,    39
3x3,     3.txt, astar, linearConflict,     2, 2.19,     2,    39
3x3,     4.txt, astar, linearConflict,     2, 1.79,     2,    36
3x3,     5.txt, astar, linearConflict,     0, 1.00,     0,     3
3x3,     6.txt, astar, linearConflict,     2, 2.19,     2,    37
3x3,     7.txt, astar, linearConflict,     2, 1.79,     2,    39
3x3,    10.txt, astar, linearConflict,     3, 1.58,     3,    38
3x3,    11.txt, astar, linearConflict,     3, 1.74,     3,    40
3x3,    12.txt, astar, linearConflict,     3, 1.74,     3,    43
3x3,    13.txt, astar, linearConflict,     3, 1.74,     3,    41
3x3,    14.txt, astar, linearConflict,     3, 1.74,     3,    39
3x3,    15.txt, astar, linearConflict,     3, 1.74,     3,    40
3x3,     8.txt, astar, linearConflict,     3, 1.74,     3,    40
3x3,     9.txt, astar, linearConflict,     3, 1.58,     3,    39
3x3,    16.txt, astar, linearConflict,     4, 1.49,     4,    40
3x3,    17.txt, astar, linearConflict,     4, 1.49,     4,    40
3x3,    18.txt, astar, linearConflict,     4, 1.49,     4,    40
3x3,    19.txt, astar, linearConflict,     4, 1.49,     4,    40
3x3,    20.txt, astar, linearConflict,     4, 1.49,     4,    39
3x3,    21.txt, astar, linearConflict,     4, 1.49,     4,    40
3x3,    22.txt, astar, linearConflict,     4, 1.40,     4,    39
3x3,    23.txt, astar, linearConflict,     4, 1.40,     4,    40
3x3,    24.txt, astar, linearConflict,     4, 1.49,     4,    40
3x3,    25.txt, astar, linearConflict,     4, 1.49,     4,    41
3x3,    26.txt, astar, linearConflict,     4, 1.49,     4,    40
3x3,    27.txt, astar, linearConflict,     4, 1.49,     4,    40
3x3,    28.txt, astar, linearConflict,     4, 1.49,     4,    40
3x3,    29.txt, astar, linearConflict,     4, 1.49,     4,    40
3x3,    30.txt, astar, linearConflict,     4, 1.49,     4,    40
3x3,    31.txt, astar, linearConflict,     4, 1.49,     4,    38
3x3,    32.txt, astar, linearConflict,     5, 1.39,     5,    40
3x3,    33.txt, astar, linearConflict,     5, 1.39,     5,    40
3x3,    34.txt, astar, linearConflict,     5, 1.34,     5,    42
3x3,    35.txt, astar, linearConflict,     5, 1.39,     5,    41
3x3,    36.txt, astar, linearConflict,     5, 1.39,     5,    41
3x3,    37.txt, astar, linearConflict,     6, 1.44,     5,    41
3x3,    38.txt, astar, linearConflict,     5, 1.39,     5,    41
3x3,    39.txt, astar, linearConflict,     5, 1.39,     5,    41
3x3,    40.txt, astar, linearConflict,     5, 1.39,     5,    41
3x3,    41.txt, astar, linearConflict,     6, 1.44,     5,    42
3x3,    42.txt, astar, linearConflict,     5, 1.39,     5,    40
3x3,    43.txt, astar, linearConflict,     5, 1.39,     5,    41
3x3,    44.txt, astar, linearConflict,     6, 1.44,     5,    42
3x3,    45.txt, astar, linearConflict,     5, 1.39,     5,    40
3x3,    46.txt, astar, linearConflict,     5, 1.39,     5,    41
3x3,    47.txt, astar, linearConflict,     5, 1.34,     5,    40
3x3,    48.txt, astar, linearConflict,     5, 1.39,     5,    40
3x3,    49.txt, astar, linearConflict,     6, 1.44,     5,    41
3x3,    50.txt, astar, linearConflict,     5, 1.39,     5,    41
3x3,    51.txt, astar, linearConflict,     5, 1.39,     5,    40
3x3,    66.txt, astar, linearConflict,     9, 1.42,     6,    43
3x3,    67.txt, astar, linearConflict,     8, 1.42,     6,    43
3x3,    68.txt, astar, linearConflict,     8, 1.42,     6,    43
3x3,    69.txt, astar, linearConflict,     7, 1.34,     6,    42
3x3,    70.txt, astar, linearConflict,     6, 1.31,     6,    41
3x3,    71.txt, astar, linearConflict,     6, 1.31,     6,    41
3x3,    72.txt, astar, linearConflict,    11, 1.53,     6,    45
3x3,    73.txt, astar, linearConflict,     6, 1.31,     6,    41
3x3,    74.txt, astar, linearConflict,     6, 1.27,     6,    40
3x3,    75.txt, astar, linearConflict,     6, 1.31,     6,    41
3x3,    76.txt, astar, linearConflict,     7, 1.37,     6,    42
3x3,    77.txt, astar, linearConflict,     8, 1.42,     6,    43
3x3,    78.txt, astar, linearConflict,     6, 1.31,     6,    42
3x3,    79.txt, astar, linearConflict,     6, 1.31,     6,    41
3x3,    80.txt, astar, linearConflict,     9, 1.42,     6,    42
3x3,    81.txt, astar, linearConflict,     9, 1.42,     6,    44
3x3,    82.txt, astar, linearConflict,     6, 1.31,     6,    40
3x3,    83.txt, astar, linearConflict,     8, 1.42,     6,    43
3x3,    84.txt, astar, linearConflict,     6, 1.31,     6,    42
3x3,    85.txt, astar, linearConflict,     8, 1.42,     6,    44
3x3,    86.txt, astar, linearConflict,     6, 1.31,     6,    41
3x3,    87.txt, astar, linearConflict,     9, 1.42,     6,    43
3x3,    88.txt, astar, linearConflict,     6, 1.27,     6,    41
3x3,    89.txt, astar, linearConflict,     6, 1.31,     6,    41
3x3,    90.txt, astar, linearConflict,     8, 1.42,     6,    43
3x3,   137.txt, astar, linearConflict,     7, 1.27,     7,    41
3x3,   138.txt, astar, linearConflict,     9, 1.34,     7,    43
3x3,   139.txt, astar, linearConflict,     9, 1.34,     7,    44
3x3,   140.txt, astar, linearConflict,    18, 1.50,     7,    47
3x3,   141.txt, astar, linearConflict,     9, 1.34,     7,    45
3x3,   142.txt, astar, linearConflict,    14, 1.44,     7,    45
3x3,   143.txt, astar, linearConflict,    17, 1.49,     7,    47
3x3,   144.txt, astar, linearConflict,     9, 1.34,     7,    43
3x3,   145.txt, astar, linearConflict,     7, 1.27,     7,    42
3x3,   146.txt, astar, linearConflict,     9, 1.34,     7,    42
3x3,   147.txt, astar, linearConflict,     9, 1.34,     7,    43
3x3,   148.txt, astar, linearConflict,     7, 1.27,     7,    42
3x3,   149.txt, astar, linearConflict,     7, 1.27,     7,    42
3x3,   150.txt, astar, linearConflict,    17, 1.49,     7,    47
3x3,   151.txt, astar, linearConflict,     9, 1.34,     7,    42
3x3,   152.txt, astar, linearConflict,    17, 1.49,     7,    47
3x3,    91.txt, astar, linearConflict,     7, 1.27,     7,    42
3x3,    92.txt, astar, linearConflict,     9, 1.34,     7,    43
3x3,    93.txt, astar, linearConflict,     7, 1.27,     7,    42
3x3,    94.txt, astar, linearConflict,     9, 1.34,     7,    43
3x3,    95.txt, astar, linearConflict,    15, 1.47,     7,    46
3x3,    96.txt, astar, linearConflict,    10, 1.34,     7,    43
3x3,    97.txt, astar, linearConflict,     8, 1.29,     7,    42
3x3,    98.txt, astar, linearConflict,     7, 1.27,     7,    42
3x3,    99.txt, astar, linearConflict,     9, 1.34,     7,    44
3x3,   244.txt, astar, linearConflict,    24, 1.46,     8,    51
3x3,   245.txt, astar, linearConflict,    10, 1.28,     8,    43
3x3,   246.txt, astar, linearConflict,    21, 1.43,     8,    48
3x3,   247.txt, astar, linearConflict,    11, 1.28,     8,    45
3x3,   248.txt, astar, linearConflict,    30, 1.52,     8,    52
3x3,   249.txt, astar, linearConflict,     8, 1.22,     8,    42
3x3,   250.txt, astar, linearConflict,     8, 1.24,     8,    43
3x3,   251.txt, astar, linearConflict,    22, 1.44,     8,    50
3x3,   252.txt, astar, linearConflict,    10, 1.28,     8,    49
3x3,   253.txt, astar, linearConflict,     8, 1.24,     8,    42
3x3,   254.txt, astar, linearConflict,    10, 1.28,     8,    44
3x3,   255.txt, astar, linearConflict,     8, 1.22,     8,    42
3x3,   256.txt, astar, linearConflict,    10, 1.28,     8,    44
3x3,   257.txt, astar, linearConflict,     8, 1.22,     8,    42
3x3,   258.txt, astar, linearConflict,    10, 1.28,     8,    44
3x3,   259.txt, astar, linearConflict,    27, 1.52,     8,    51
3x3,   260.txt, astar, linearConflict,    23, 1.45,     8,    49
3x3,   261.txt, astar, linearConflict,    10, 1.28,     8,    44
3x3,   262.txt, astar, linearConflict,    11, 1.31,     8,    44
3x3,   263.txt, astar, linearConflict,    10, 1.28,     8,    43
3x3,   264.txt, astar, linearConflict,    10, 1.28,     8,    44
3x3,   265.txt, astar, linearConflict,    12, 1.32,     8,    43
3x3,   266.txt, astar, linearConflict,    10, 1.28,     8,    43
3x3,   267.txt, astar, linearConflict,    12, 1.32,     8,    44
3x3,   268.txt, astar, linearConflict,    10, 1.28,     8,    44
3x3,   396.txt, astar, linearConflict,    13, 1.28,     9,    46
3x3,   397.txt, astar, linearConflict,     9, 1.22,     9,    44
3x3,   398.txt, astar, linearConflict,     9, 1.22,     9,    42
3x3,   399.txt, astar, linearConflict,    11, 1.25,     9,    45
3x3,   400.txt, astar, linearConflict,    11, 1.25,     9,    45
3x3,   401.txt, astar, linearConflict,    10, 1.23,     9,    43
3x3,   402.txt, astar, linearConflict,    11, 1.25,     9,    44
3x3,   403.txt, astar, linearConflict,     9, 1.20,     9,    43
3x3,   404.txt, astar, linearConflict,    12, 1.27,     9,    45
3x3,   405.txt, astar, linearConflict,    10, 1.24,     9,    44
3x3,   406.txt, astar, linearConflict,    11, 1.25,     9,    45
3x3,   407.txt, astar, linearConflict,    28, 1.42,     9,    51
3x3,   408.txt, astar, linearConflict,    11, 1.25,     9,    44
3x3,   409.txt, astar, linearConflict,    10, 1.23,     9,    44
3x3,   410.txt, astar, linearConflict,    13, 1.27,     9,    45
3x3,   411.txt, astar, linearConflict,    40, 1.50,     9,    56
3x3,   412.txt, astar, linearConflict,    12, 1.26,     9,    45
3x3,   413.txt, astar, linearConflict,    13, 1.27,     9,    45
3x3,   414.txt, astar, linearConflict,    13, 1.28,     9,    45
3x3,   415.txt, astar, linearConflict,    13, 1.28,     9,    45
3x3,   416.txt, astar, linearConflict,    14, 1.29,     9,    45
3x3,   417.txt, astar, linearConflict,    12, 1.27,     9,    45
3x3,   418.txt, astar, linearConflict,    12, 1.27,     9,    45
3x3,   419.txt, astar, linearConflict,    13, 1.27,     9,    45
3x3,   420.txt, astar, linearConflict,    22, 1.37,     9,    49
3x3,   682.txt, astar, linearConflict,    10, 1.18,    10,    42
3x3,   683.txt, astar, linearConflict,    62, 1.50,    10,    62
3x3,   684.txt, astar, linearConflict,   159, 1.67,    10,    78
3x3,   685.txt, astar, linearConflict,    70, 1.52,    10,    63
3x3,   686.txt, astar, linearConflict,    11, 1.20,    10,    43
