3x3,     1.txt, astar, manhattan,     1, 3.00,     1,    12
3x3,     2.txt, astar, manhattan,     1, 3.00,     1,    11
3x3,     3.txt, astar, manhattan,     2, 2.19,     2,    12
3x3,     4.txt, astar, manhattan,     2, 1.79,     2,    10
3x3,     5.txt, astar, manhattan,     0, 1.00,     0,     4
3x3,     6.txt, astar, manhattan,     2, 2.19,     2,    12
3x3,     7.txt, astar, manhattan,     2, 1.79,     2,    11
3x3,    10.txt, astar, manhattan,     3, 1.58,     3,    11
3x3,    11.txt, astar, manhattan,     3, 1.74,     3,    12
3x3,    12.txt, astar, manhattan,     3, 1.74,     3,    12
3x3,    13.txt, astar, manhattan,     3, 1.74,     3,    12
3x3,    14.txt, astar, manhattan,     3, 1.74,     3,    12
3x3,    15.txt, astar, manhattan,     3, 1.74,     3,    12
3x3,     8.txt, astar, manhattan,     3, 1.74,     3,    12
3x3,     9.txt, astar, manhattan,     3, 1.58,     3,    12
3x3,    16.txt, astar, manhattan,     4, 1.49,     4,    12
3x3,    17.txt, astar, manhattan,     4, 1.49,     4,    12
3x3,    18.txt, astar, manhattan,     4, 1.49,     4,    12
3x3,    19.txt, astar, manhattan,     4, 1.49,     4,    13
3x3,    20.txt, astar, manhattan,     4, 1.49,     4,    12
3x3,    21.txt, astar, manhattan,     4, 1.49,     4,    12
3x3,    22.txt, astar, manhattan,     4, 1.40,     4,    12
3x3,    23.txt, astar, manhattan,     4, 1.40,     4,    13
3x3,    24.txt, astar, manhattan,     4, 1.49,     4,    13
3x3,    25.txt, astar, manhattan,     4, 1.49,     4,    13
3x3,    26.txt, astar, manhattan,     4, 1.49,     4,    15
3x3,    27.txt, astar, manhattan,     4, 1.49,     4,    13
3x3,    28.txt, astar, manhattan,     4, 1.49,     4,    16
3x3,    29.txt, astar, manhattan,     4, 1.49,     4,    13
3x3,    30.txt, astar, manhattan,     4, 1.49,     4,    12
3x3,    31.txt, astar, manhattan,     4, 1.49,     4,    13
3x3,    32.txt, astar, manhattan,     5, 1.39,     5,    13
3x3,    33.txt, astar, manhattan,     5, 1.39,     5,    14
3x3,    34.txt, astar, manhattan,     5, 1.34,     5,    13
3x3,    35.txt, astar, manhattan,     5, 1.39,     5,    14
