3x3,     1.txt, astar, manhattan,     1, 0.00,     1,    12
3x3,     1.txt, astar, linearConflict,     1, 0.00,     1,    36
3x3,     1.txt, astar, NMaxSwap,     1, 0.00,     1,    20
3x3,     2.txt, astar, manhattan,     1, 0.00,     1,    11
3x3,     2.txt, astar, linearConflict,     1, 0.00,     1,    35
3x3,     2.txt, astar, NMaxSwap,     1, 0.00,     1,    19
3x3,     3.txt, astar, manhattan,     2, 0.00,     2,    11
3x3,     3.txt, astar, linearConflict,     2, 0.00,     2,    62
3x3,     3.txt, astar, NMaxSwap,     2, 0.00,     2,    20
3x3,     4.txt, astar, manhattan,     2, 0.00,     2,    11
3x3,     4.txt, astar, linearConflict,     2, 0.00,     2,    36
3x3,     4.txt, astar, NMaxSwap,     2, 0.00,     2,    20
3x3,     5.txt, astar, manhattan,     0, 0.00,     0,     3
3x3,     5.txt, astar, linearConflict,     0, 0.00,     0,     4
3x3,     5.txt, astar, NMaxSwap,     0, 0.00,     0,     3
3x3,     6.txt, astar, manhattan,     2, 0.00,     2,    11
3x3,     6.txt, astar, linearConflict,     2, 0.00,     2,    38
3x3,     6.txt, astar, NMaxSwap,     2, 0.00,     2,    19
3x3,     7.txt, astar, manhattan,     2, 0.00,     2,    11
3x3,     7.txt, astar, linearConflict,     2, 0.00,     2,    36
3x3,     7.txt, astar, NMaxSwap,     2, 0.00,     2,    20
3x3,    10.txt, astar, manhattan,     3, 0.00,     3,    12
3x3,    10.txt, astar, linearConflict,     3, 0.00,     3,    38
3x3,    10.txt, astar, NMaxSwap,     3, 0.00,     3,    20
3x3,    11.txt, astar, manhattan,     3, 0.00,     3,    12
3x3,    11.txt, astar, linearConflict,     3, 0.00,     3,    40
3x3,    11.txt, astar, NMaxSwap,     3, 0.00,     3,    20
3x3,    12.txt, astar, manhattan,     3, 0.00,     3,    11
3x3,    12.txt, astar, linearConflict,     3, 0.00,     3,    40
3x3,    12.txt, astar, NMaxSwap,     3, 0.00,     3,    21
3x3,    13.txt, astar, manhattan,     3, 0.00,     3,    11
3x3,    13.txt, astar, linearConflict,     3, 0.00,     3,    39
3x3,    13.txt, astar, NMaxSwap,     3, 0.00,     3,    20
3x3,    14.txt, astar, manhattan,     3, 0.00,     3,    12
3x3,    14.txt, astar, linearConflict,     3, 0.00,     3,    39
3x3,    14.txt, astar, NMaxSwap,     3, 0.00,     3,    21
3x3,    15.txt, astar, manhattan,     3, 0.00,     3,    11
3x3,    15.txt, astar, linearConflict,     3, 0.00,     3,    39
3x3,    15.txt, astar, NMaxSwap,     3, 0.00,     3,    21
3x3,     8.txt, astar, manhattan,     3, 0.00,     3,    11
3x3,     8.txt, astar, linearConflict,     3, 0.00,     3,    39
3x3,     8.txt, astar, NMaxSwap,     3, 0.00,     3,    21
3x3,     9.txt, astar, manhattan,     3, 0.00,     3,    11
3x3,     9.txt, astar, linearConflict,     3, 0.00,     3,    39
3x3,     9.txt, astar, NMaxSwap,     3, 0.00,     3,    21
3x3,    16.txt, astar, manhattan,     4, 0.00,     4,    12
3x3,    16.txt, astar, linearConflict,     4, 0.00,     4,    41
3x3,    16.txt, astar, NMaxSwap,     4, 0.00,     4,    21
3x3,    17.txt, astar, manhattan,     4, 0.00,     4,    12
3x3,    17.txt, astar, linearConflict,     4, 0.00,     4,    40
3x3,    17.txt, astar, NMaxSwap,     4, 0.00,     4,    21
3x3,    18.txt, astar, manhattan,     4, 0.00,     4,    12
3x3,    18.txt, astar, linearConflict,     4, 0.00,     4,    39
3x3,    18.txt, astar, NMaxSwap,     4, 0.00,     4,    20
3x3,    19.txt, astar, manhattan,     4, 0.00,     4,    12
3x3,    19.txt, astar, linearConflict,     4, 0.00,     4,    40
3x3,    19.txt, astar, NMaxSwap,     4, 0.00,     4,    20
3x3,    20.txt, astar, manhattan,     4, 0.00,     4,    12
3x3,    20.txt, astar, linearConflict,     4, 0.00,     4,    41
3x3,    20.txt, astar, NMaxSwap,     4, 0.00,     4,    21
3x3,    21.txt, astar, manhattan,     4, 0.00,     4,    11
3x3,    21.txt, astar, linearConflict,     4, 0.00,     4,    40
3x3,    21.txt, astar, NMaxSwap,     4, 0.00,     4,    21
3x3,    22.txt, astar, manhattan,     4, 0.00,     4,    12
3x3,    22.txt, astar, linearConflict,     4, 0.00,     4,    40
3x3,    22.txt, astar, NMaxSwap,     4, 0.00,     4,    20
3x3,    23.txt, astar, manhattan,     4, 0.00,     4,    12
3x3,    23.txt, astar, linearConflict,     4, 0.00,     4,    38
3x3,    23.txt, astar, NMaxSwap,     4, 0.00,     4,    20
3x3,    24.txt, astar, manhattan,     4, 0.00,     4,    12
3x3,    24.txt, astar, linearConflict,     4, 0.00,     4,    40
3x3,    24.txt, astar, NMaxSwap,     4, 0.00,     4,    21
3x3,    25.txt, astar, manhattan,     4, 0.00,     4,    12
3x3,    25.txt, astar, linearConflict,     4, 0.00,     4,    42
3x3,    25.txt, astar, NMaxSwap,     4, 0.00,     4,    21
