3x3,     1.txt, astar, nonAdditiveFringe,     1, 3.00,     1,  5276
3x3,     2.txt, astar, nonAdditiveFringe,     1, 3.00,     1,  4999
3x3,     3.txt, astar, nonAdditiveFringe,     4, 3.00,     2,  5035
3x3,     4.txt, astar, nonAdditiveFringe,     2, 1.79,     2,  5124
3x3,     5.txt, astar, nonAdditiveFringe,     0, 1.00,     0,     3
3x3,     6.txt, astar, nonAdditiveFringe,     3, 2.70,     2,  5044
3x3,     7.txt, astar, nonAdditiveFringe,     2, 1.79,     2,  5145
3x3,    10.txt, astar, nonAdditiveFringe,     3, 1.58,     3,  5114
3x3,    11.txt, astar, nonAdditiveFringe,     5, 2.06,     3,  5053
3x3,    12.txt, astar, nonAdditiveFringe,    13, 2.85,     3,  5133
3x3,    13.txt, astar, nonAdditiveFringe,     5, 2.06,     3,  5139
3x3,    14.txt, astar, nonAdditiveFringe,     4, 1.94,     3,  5151
3x3,    15.txt, astar, nonAdditiveFringe,     8, 2.40,     3,  4981
3x3,     8.txt, astar, nonAdditiveFringe,     4, 1.94,     3,  5037
3x3,     9.txt, astar, nonAdditiveFringe,     3, 1.58,     3,  5123
3x3,    16.txt, astar, nonAdditiveFringe,     5, 1.61,     4,  5019
3x3,    17.txt, astar, nonAdditiveFringe,    10, 1.94,     4,  5022
3x3,    18.txt, astar, nonAdditiveFringe,     4, 1.49,     4,  4950
3x3,    19.txt, astar, nonAdditiveFringe,     5, 1.61,     4,  5110
3x3,    20.txt, astar, nonAdditiveFringe,     5, 1.61,     4,  5169
3x3,    21.txt, astar, nonAdditiveFringe,     4, 1.49,     4,  5015
3x3,    22.txt, astar, nonAdditiveFringe,     4, 1.40,     4,  5081
3x3,    23.txt, astar, nonAdditiveFringe,     4, 1.40,     4,  5212
3x3,    24.txt, astar, nonAdditiveFringe,     6, 1.67,     4,  5044
3x3,    25.txt, astar, nonAdditiveFringe,     6, 1.67,     4,  5028
3x3,    26.txt, astar, nonAdditiveFringe,     6, 1.67,     4,  5344
3x3,    27.txt, astar, nonAdditiveFringe,    28, 2.59,     4,  5081
3x3,    28.txt, astar, nonAdditiveFringe,     6, 1.67,     4,  5092
3x3,    29.txt, astar, nonAdditiveFringe,    15, 2.18,     4,  5113
3x3,    30.txt, astar, nonAdditiveFringe,     5, 1.61,     4,  5151
3x3,    31.txt, astar, nonAdditiveFringe,    18, 2.30,     4,  5255
3x3,    32.txt, astar, nonAdditiveFringe,     6, 1.46,     5,  4986
3x3,    33.txt, astar, nonAdditiveFringe,    66, 2.55,     5,  4985
3x3,    34.txt, astar, nonAdditiveFringe,     5, 1.34,     5,  5155
3x3,    35.txt, astar, nonAdditiveFringe,     5, 1.39,     5,  5085
3x3,    36.txt, astar, nonAdditiveFringe,     6, 1.46,     5,  5070
3x3,    37.txt, astar, nonAdditiveFringe,     5, 1.39,     5,  5049
3x3,    38.txt, astar, nonAdditiveFringe,     5, 1.39,     5,  4991
3x3,    39.txt, astar, nonAdditiveFringe,    21, 1.95,     5,  5046
3x3,    40.txt, astar, nonAdditiveFringe,     5, 1.39,     5,  5157
3x3,    41.txt, astar, nonAdditiveFringe,     5, 1.39,     5,  5051
3x3,    42.txt, astar, nonAdditiveFringe,     5, 1.39,     5,  5006
