size,heur,expanded,branching,cost,time
4x4,disjointPDBMax,3,1.81,3,364209
3x3,NMaxSwap,9642114,2.12,22,362863
4x4,disjointPDBMax,4,1.61,4,357243
4x4,disjointPDBMax,1,3,1,356705
4x4,disjointPDBMax,4,1.57,4,352819
4x4,disjointPDBMax,4,1.57,4,352427
4x4,disjointPDBMax,2,2,2,350729
4x4,disjointPDBMax,4,1.57,4,344665
4x4,disjointPDBMax,4,1.61,4,341488
4x4,disjointPDBMax,4,1.57,4,339475
4x4,disjointPDBMax,4,1.49,4,338066
4x4,disjointPDBMax,4,1.57,4,335427
4x4,disjointPDBMax,4,1.53,4,334919
4x4,disjointPDBMax,4,1.61,4,332863
4x4,disjointPDBMax,4,1.57,4,331937
4x4,disjointPDBMax,3,1.74,3,330874
4x4,disjointPDBMax,4,1.57,4,329322
4x4,disjointPDBMax,4,1.53,4,327781
4x4,disjointPDBMax,3,1.81,3,326251
4x4,disjointPDBMax,4,1.45,4,326203
4x4,disjointPDBMax,4,1.57,4,325567
4x4,disjointPDBMax,3,1.58,3,324594
4x4,disjointPDBMax,4,1.45,4,323395
4x4,disjointPDBMax,3,1.81,3,322467
4x4,disjointPDBMax,4,1.49,4,321817
4x4,disjointPDBMax,4,1.53,4,321131
4x4,disjointPDBMax,4,1.57,4,320017
4x4,disjointPDBMax,2,2,2,319137
4x4,disjointPDBMax,3,1.58,3,316106
4x4,disjointPDBMax,2,2.19,2,314919
4x4,disjointPDBMax,3,1.74,3,313562
4x4,disjointPDBMax,4,1.53,4,313458
4x4,disjointPDBMax,4,1.61,4,308848
4x4,disjointPDBMax,4,1.57,4,306876
4x4,disjointPDBMax,3,1.74,3,306328
4x4,disjointPDBMax,1,3,1,305911
4x4,disjointPDBMax,4,1.57,4,297321
4x4,disjointPDBMax,2,2.19,2,296237
4x4,disjointPDBMax,3,1.81,3,296162
4x4,disjointPDBMax,3,1.74,3,291367
4x4,disjointPDBMax,4,1.57,4,283923
4x4,disjointPDBVertical,4,1.49,4,177428
4x4,disjointPDBHorizontal,4,1.61,4,175851
4x4,disjointPDBHorizontal,3,1.58,3,175581
4x4,disjointPDBVertical,4,1.53,4,175228
4x4,disjointPDBVertical,4,1.49,4,174970
4x4,disjointPDBHorizontal,4,1.53,4,174681
4x4,disjointPDBVertical,4,1.57,4,174572
4x4,disjointPDBHorizontal,2,2.19,2,174470
4x4,disjointPDBVertical,4,1.45,4,174359
4x4,disjointPDBHorizontal,4,1.53,4,174090
4x4,disjointPDBVertical,4,1.53,4,173780
4x4,disjointPDBVertical,1,3,1,173751
4x4,disjointPDBVertical,4,1.57,4,173651
4x4,disjointPDBHorizontal,4,1.57,4,173603
4x4,disjointPDBVertical,4,1.57,4,173347
4x4,disjointPDBHorizontal,4,1.57,4,173190
4x4,disjointPDBVertical,3,1.74,3,172844
4x4,disjointPDBHorizontal,3,1.58,3,172571
4x4,disjointPDBHorizontal,4,1.57,4,171908
4x4,disjointPDBHorizontal,3,1.81,3,171343
4x4,disjointPDBHorizontal,4,1.61,4,171013
4x4,disjointPDBHorizontal,4,1.57,4,170960
4x4,disjointPDBVertical,2,2.19,2,170921
4x4,disjointPDBVertical,3,1.81,3,170895
4x4,disjointPDBHorizontal,4,1.49,4,170765
4x4,disjointPDBHorizontal,4,1.57,4,170398
4x4,disjointPDBVertical,3,1.81,3,170199
4x4,disjointPDBHorizontal,2,2,2,169841
4x4,disjointPDBHorizontal,4,1.53,4,169556
4x4,disjointPDBVertical,4,1.61,4,169530
4x4,disjointPDBVertical,4,1.53,4,169236
4x4,disjointPDBVertical,4,1.57,4,169232
4x4,disjointPDBHorizontal,4,1.57,4,168981
4x4,disjointPDBVertical,4,1.57,4,168826
4x4,disjointPDBVertical,4,1.57,4,168699
4x4,disjointPDBHorizontal,2,2,2,168103
4x4,disjointPDBHorizontal,3,1.74,3,168078
4x4,disjointPDBVertical,2,2,2,167904
4x4,disjointPDBHorizontal,2,2.19,2,167679
4x4,disjointPDBVertical,3,1.74,3,167638
4x4,disjointPDBVertical,4,1.57,4,167382
4x4,disjointPDBHorizontal,4,1.53,4,167285
4x4,disjointPDBVertical,4,1.45,4,167212
4x4,disjointPDBVertical,3,1.81,3,167047
4x4,disjointPDBVertical,4,1.57,4,167012
4x4,disjointPDBHorizontal,4,1.61,4,166492
4x4,disjointPDBVertical,1,3,1,166408
4x4,disjointPDBHorizontal,4,1.45,4,166289
4x4,disjointPDBVertical,4,1.57,4,166119
4x4,disjointPDBHorizontal,4,1.57,4,165966
4x4,disjointPDBVertical,3,1.58,3,165894
4x4,disjointPDBVertical,4,1.57,4,165864
4x4,disjointPDBVertical,4,1.61,4,165705
4x4,disjointPDBVertical,4,1.53,4,165508
4x4,disjointPDBHorizontal,3,1.81,3,165469
4x4,disjointPDBHorizontal,1,3,1,165411
4x4,disjointPDBHorizontal,3,1.81,3,165389
4x4,disjointPDBVertical,2,2.19,2,165240
4x4,disjointPDBVertical,3,1.74,3,165157
4x4,disjointPDBVertical,2,2,2,164976
4x4,disjointPDBHorizontal,4,1.57,4,164825
4x4,disjointPDBHorizontal,4,1.57,4,164774
4x4,disjointPDBVertical,3,1.74,3,164462
4x4,disjointPDBHorizontal,4,1.57,4,163881
4x4,disjointPDBHorizontal,4,1.45,4,163621
4x4,disjointPDBHorizontal,4,1.49,4,163614
4x4,disjointPDBVertical,4,1.61,4,163462
4x4,disjointPDBVertical,3,1.81,3,162881
4x4,disjointPDBHorizontal,3,1.74,3,162843
4x4,disjointPDBVertical,4,1.61,4,162727
4x4,disjointPDBVertical,3,1.58,3,162296
4x4,disjointPDBVertical,4,1.57,4,162153
4x4,disjointPDBHorizontal,3,1.81,3,162001
4x4,disjointPDBHorizontal,1,3,1,161304
4x4,disjointPDBHorizontal,4,1.57,4,161138
4x4,disjointPDBVertical,4,1.57,4,160722
